dataset,sample,primary_actual_ticks,secondary_capture_ticks,map_error_ticks,map_error_us,source_late_ticks
sync-line-rt-r1,1,466197111,2485548191,19,0.296875,7
sync-line-rt-r1,2,469235377,2501751868,32,0.500000,7
sync-line-rt-r1,3,472261102,2517888661,45,0.703125,7
sync-line-rt-r1,4,475294213,2534064846,57,0.890625,7
sync-line-rt-r1,5,478327029,2550239457,69,1.078125,7
sync-line-rt-r1,6,481358032,2566404401,83,1.296875,7
sync-line-rt-r1,7,484393285,2582592008,93,1.453125,7
sync-line-rt-r1,8,487417920,2598722988,104,1.625000,7
sync-line-rt-r1,9,490446448,2614874731,116,1.812500,7
sync-line-rt-r1,10,493472393,2631012698,128,2.000000,7
sync-line-rt-r1,11,496496111,2647138787,138,2.156250,7
sync-line-rt-r1,12,499522027,2663276599,146,2.281250,7
sync-line-rt-r1,13,502551396,2679432827,155,2.421875,7
sync-line-rt-r1,14,505584161,2695607167,164,2.562500,7
sync-line-rt-r1,15,508613093,2711761064,172,2.687500,7
sync-line-rt-r1,16,511638459,2727895943,178,2.781250,7
sync-line-rt-r1,17,514664770,2744035861,182,2.843750,7
sync-line-rt-r1,18,517687716,2760157834,189,2.953125,7
sync-line-rt-r1,19,520728287,2776373804,194,3.031250,7
sync-line-rt-r1,20,523748760,2792482588,201,3.140625,7
sync-line-rt-r1,21,526787264,2808687534,206,3.218750,7
sync-line-rt-r1,22,529820757,2824865756,212,3.312500,7
sync-line-rt-r1,23,532859785,2841073497,219,3.421875,7
sync-line-rt-r1,24,535892079,2857245324,224,3.500000,7
sync-line-rt-r1,25,538922301,2873406101,230,3.593750,7
sync-line-rt-r1,26,541944593,2889524586,236,3.687500,7
sync-line-rt-r1,27,544971678,2905668633,242,3.781250,7
sync-line-rt-r1,28,547998896,2921813389,245,3.828125,7
sync-line-rt-r1,29,551022457,2937938641,248,3.875000,7
sync-line-rt-r1,30,554046861,2954068390,252,3.937500,7
sync-line-rt-r2,1,982554764,944419001,20,0.312500,7
sync-line-rt-r2,2,985590850,960611052,29,0.453125,7
sync-line-rt-r2,3,988626927,976803055,39,0.609375,7
sync-line-rt-r2,4,991655271,992953816,48,0.750000,7
sync-line-rt-r2,5,994682847,1009100481,54,0.843750,7
sync-line-rt-r2,6,997707718,1025232720,60,0.937500,7
sync-line-rt-r2,7,1000744590,1041428962,66,1.031250,7
sync-line-rt-r2,8,1003767839,1057552551,73,1.140625,7
sync-line-rt-r2,9,1006795872,1073701653,75,1.171875,7
sync-line-rt-r2,10,1009828905,1089877421,78,1.218750,7
sync-line-rt-r2,11,1012855985,1106021441,81,1.265625,7
sync-line-rt-r2,12,1015887999,1122191775,84,1.312500,7
sync-line-rt-r2,13,1018931475,1138423238,86,1.343750,7
sync-line-rt-r2,14,1021952073,1154532688,88,1.375000,7
sync-line-rt-r2,15,1024986414,1170715433,91,1.421875,7
sync-line-rt-r2,16,1028008061,1186830477,92,1.437500,7
sync-line-rt-r2,17,1031031784,1202956594,94,1.468750,7
sync-line-rt-r2,18,1034071003,1219165353,95,1.484375,7
sync-line-rt-r2,19,1037107675,1235360529,96,1.500000,7
sync-line-rt-r2,20,1040137491,1251519141,98,1.531250,7
sync-line-rt-r2,21,1043162497,1267652100,99,1.546875,7
sync-line-rt-r2,22,1046190097,1283798893,100,1.562500,7
sync-line-rt-r2,23,1049215584,1299934417,101,1.578125,7
sync-line-rt-r2,24,1052245716,1316094714,103,1.609375,7
sync-line-rt-r2,25,1055282828,1332292237,104,1.625000,7
sync-line-rt-r2,26,1058308267,1348427505,104,1.625000,7
sync-line-rt-r2,27,1061334487,1364566938,104,1.625000,7
sync-line-rt-r2,28,1064372301,1380768205,106,1.656250,7
sync-line-rt-r2,29,1067412182,1396980495,106,1.656250,7
sync-line-rt-r2,30,1070450947,1413186833,106,1.656250,7
sync-line-rt-r3,1,735197813,1146844322,-284,-4.437500,7
sync-line-rt-r3,2,738236942,1163052602,-286,-4.468750,7
sync-line-rt-r3,3,741261191,1179181524,-286,-4.468750,7
sync-line-rt-r3,4,744288660,1195327620,-286,-4.468750,7
sync-line-rt-r3,5,747310185,1211442014,-287,-4.484375,7
sync-line-rt-r3,6,750340207,1227601725,-287,-4.484375,7
sync-line-rt-r3,7,753368445,1243751922,-287,-4.484375,7
sync-line-rt-r3,8,756392501,1259879814,-288,-4.500000,7
sync-line-rt-r3,9,759427320,1276065109,-287,-4.484375,7
sync-line-rt-r3,10,762456989,1292222937,-285,-4.453125,7
sync-line-rt-r3,11,765490412,1308400786,-281,-4.390625,7
sync-line-rt-r3,12,768522300,1324570449,-277,-4.328125,7
sync-line-rt-r3,13,771550994,1340723077,-273,-4.265625,7
sync-line-rt-r3,14,774575682,1356854341,-268,-4.187500,7
sync-line-rt-r3,15,777599812,1372982628,-264,-4.125000,7
sync-line-rt-r3,16,780630212,1389144355,-260,-4.062500,7
sync-line-rt-r3,17,783657650,1405290285,-255,-3.984375,7
sync-line-rt-r3,18,786691312,1421469409,-249,-3.890625,7
sync-line-rt-r3,19,789730131,1437676036,-243,-3.796875,7
sync-line-rt-r3,20,792757417,1453821155,-237,-3.703125,7
sync-line-rt-r3,21,795794013,1470015926,-231,-3.609375,7
sync-line-rt-r3,22,798827330,1486193210,-224,-3.500000,7
sync-line-rt-r3,23,801845311,1502288704,-218,-3.406250,7
sync-line-rt-r3,24,804872504,1518433327,-211,-3.296875,7
sync-line-rt-r3,25,807912484,1534646146,-204,-3.187500,7
sync-line-rt-r3,26,810944458,1550816267,-197,-3.078125,7
sync-line-rt-r3,27,813982023,1567016207,-189,-2.953125,7
sync-line-rt-r3,28,817029674,1583269936,-183,-2.859375,7
sync-line-rt-r3,29,820068594,1599477102,-175,-2.734375,7
sync-line-rt-r3,30,823098296,1615635106,-168,-2.625000,7
